city,start_year,end_year,start_homeless,end_homeless,start_unsheltered_share,end_unsheltered_share,abs_change_homeless,pct_change_homeless,pp_change_unsheltered_share
Chicago,2011,2024,6635.0,18836.0,0.2595327807083647,0.08674877893395626,12201.0,183.88847023360967,-17.278400177440844
Los Angeles,2011,2024,34622.0,71201.0,0.5123909652821905,0.6953413575652028,36579.0,105.65247530471953,18.295039228301224
New York City,2011,2024,51123.0,140134.0,0.05179664730160593,0.031377110479969175,89011.0,174.11145668290203,-2.0419536821636752
San Francisco,2011,2024,5669.0,8323.0,0.5946375022049745,0.5231286795626577,2654.0,46.81601693420356,-7.150882264231672
