city,rent_start_year,rent_end_year,rent_start,rent_end,rent_pct_change
Chicago,2015,2026,1376.1896889060952,2091.2262503221677,51.957703736644056
Los Angeles,2015,2026,1812.5612928294893,2884.813189004322,59.15672481899905
New York City,2015,2026,2215.644623239199,3232.316443552771,45.88605093298903
San Francisco,2015,2026,2301.1342831688266,3063.820825945473,33.143938985011026
