year,city,coc,count_type,overall_homeless,sheltered_total,unsheltered,overall_individuals,overall_families_people,chronic,veterans
2021,New York City,NY-600,Sheltered and Unsheltered Count,68358.0,65975.0,2383.0,34740.0,33618.0,6621.0,625.0
2022,New York City,NY-600,Sheltered and Unsheltered Count,61840.0,58385.0,3455.0,32308.0,29532.0,5529.0,482.0
2023,New York City,NY-600,Sheltered and Unsheltered Count,88025.0,83940.0,4085.0,41102.0,46923.0,4891.0,567.0
2024,New York City,NY-600,Sheltered and Unsheltered Count,140134.0,135737.0,4397.0,52679.0,87455.0,4280.0,624.0
2011,San Francisco,CA-501,Sheltered and Unsheltered Count,5669.0,2298.0,3371.0,5034.0,635.0,1738.0,919.0
2012,San Francisco,CA-501,Sheltered and Unsheltered Count,5895.0,2524.0,3371.0,5177.0,718.0,1899.0,774.0
2013,San Francisco,CA-501,Sheltered and Unsheltered Count,7008.0,2693.0,4315.0,6329.0,679.0,2093.0,716.0
2014,San Francisco,CA-501,Sheltered-Only Count,6408.0,2093.0,4315.0,5776.0,632.0,2321.0,720.0
2015,San Francisco,CA-501,Sheltered and Unsheltered Count,6775.0,2417.0,4358.0,6175.0,600.0,1629.0,557.0
2016,San Francisco,CA-501,Sheltered-Only Count,6996.0,2638.0,4358.0,6309.0,687.0,1932.0,580.0
2017,San Francisco,CA-501,Sheltered and Unsheltered Count,6858.0,2505.0,4353.0,6257.0,601.0,2138.0,684.0
2018,San Francisco,CA-501,Sheltered-Only Count,6857.0,2504.0,4353.0,6211.0,646.0,1757.0,656.0
2019,San Francisco,CA-501,Sheltered and Unsheltered Count,8035.0,2855.0,5180.0,7404.0,631.0,3030.0,608.0
2020,San Francisco,CA-501,Sheltered-Only Count,8124.0,2944.0,5180.0,7609.0,515.0,2837.0,699.0
2021,San Francisco,CA-501,Sheltered-Only Count,4000.0,4000.0,0.0,3411.0,589.0,1668.0,333.0
2022,San Francisco,CA-501,Sheltered and Unsheltered Count,7754.0,3357.0,4397.0,7149.0,605.0,2691.0,605.0
2023,San Francisco,CA-501,Sheltered-Only Count,7582.0,3185.0,4397.0,6958.0,624.0,2520.0,548.0
2024,San Francisco,CA-501,Sheltered and Unsheltered Count,8323.0,3969.0,4354.0,7220.0,1103.0,2989.0,587.0
