metro,date,upt,year,month,baseline_monthly_mean,pct_of_baseline,jan2019_upt,index_jan2019_100,upt_12m_avg
Chicago,2007-06-01,52372582,2007,6,50755660.2,1.0318569750374362,40896269,128.06200487384314,51082030.583333336
Chicago,2007-07-01,52821378,2007,7,50134314.8,1.0535972858254763,40896269,129.15940571498098,51261106.083333336
Chicago,2007-08-01,53388720,2007,8,51053404.2,1.045742606915133,40896269,130.54667651956223,51334232.333333336
Chicago,2007-09-01,53146641,2007,9,51562059.0,1.0307315501112941,40896269,129.95474232624986,51343117.25
Chicago,2007-10-01,57928670,2007,10,54155936.8,1.0696642588592429,40896269,141.64781144216357,51576711.166666664
Chicago,2007-11-01,51466986,2007,11,48094651.8,1.0701186945696943,40896269,125.84763172405775,51608624.583333336
Chicago,2007-12-01,46900717,2007,12,44379024.8,1.0568217127655315,40896269,114.682141297535,51574489.916666664
Chicago,2008-01-01,50735937,2008,1,45894020.6,1.105502118504736,40896269,124.0600627895909,51698858.083333336
Chicago,2008-02-01,48574377,2008,2,45198820.2,1.0746824095200609,40896269,118.77459286078151,52046691.25
Chicago,2008-03-01,51265360,2008,3,50656980.0,1.0120097960833827,40896269,125.35461364458456,51922655.5
Chicago,2008-04-01,55141862,2008,4,49157274.6,1.1217436777912826,40896269,134.8334783302604,52349453.25
Chicago,2008-05-01,55987962,2008,5,51113222.0,1.0953714089868958,40896269,136.90237121630827,52477599.333333336
Chicago,2008-06-01,55366102,2008,6,50755660.2,1.0908360128078878,40896269,135.38179240751765,52727059.333333336
Chicago,2008-07-01,57933682,2008,7,50134314.8,1.155569438439797,40896269,141.66006683886002,53153084.666666664
Chicago,2008-08-01,56362213,2008,8,51053404.2,1.1039854027990557,40896269,137.81749381587844,53400875.75
Chicago,2008-09-01,57734939,2008,9,51562059.0,1.1197174845170554,40896269,141.17409830221922,53783233.916666664
Chicago,2008-10-01,61097700,2008,10,54155936.8,1.128181019666158,40896269,149.3967579291891,54047319.75
Chicago,2008-11-01,51564451,2008,11,48094651.8,1.0721452192736325,40896269,126.0859541979245,54055441.833333336
Chicago,2008-12-01,48429393,2008,12,44379024.8,1.0912676251506996,40896269,118.42007641332759,54182831.5
Chicago,2009-01-01,49353131,2009,1,45894020.6,1.0753717010359296,40896269,120.67881057805052,54067597.666666664
Chicago,2009-02-01,48925050,2009,2,45198820.2,1.0824408642418502,40896269,119.6320622793243,54096820.416666664
Chicago,2009-03-01,53723134,2009,3,50656980.0,1.060527769322214,40896269,131.36438925516654,54301634.916666664
Chicago,2009-04-01,52584863,2009,4,49157274.6,1.0697269819755222,40896269,128.58107667474508,54088551.666666664
Chicago,2009-05-01,53426562,2009,5,51113222.0,1.045259130797898,40896269,130.63920818791564,53875101.666666664
Chicago,2009-06-01,53677167,2009,6,50755660.2,1.057560216702688,40896269,131.25199024879262,53734357.083333336
Chicago,2009-07-01,55323998,2009,7,50134314.8,1.103515590483347,40896269,135.27883925059277,53516883.416666664
Chicago,2009-08-01,52906573,2009,8,51053404.2,1.036298633343631,40896269,129.36772545192326,53228913.416666664
Chicago,2009-09-01,55671214,2009,9,51562059.0,1.0796933846260872,40896269,136.12785557528488,53056936.333333336
Chicago,2009-10-01,56988991,2009,10,54155936.8,1.052312901731579,40896269,139.35009817154713,52714543.916666664
Chicago,2009-11-01,51733570,2009,11,48094651.8,1.0756615977828954,40896269,126.49948580883992,52728637.166666664
Chicago,2009-12-01,48594548,2009,12,44379024.8,1.0949890904317483,40896269,118.82391520849981,52742400.083333336
Chicago,2010-01-01,49092479,2010,1,45894020.6,1.069692268364912,40896269,120.04146148393147,52720679.083333336
Chicago,2010-02-01,48084109,2010,2,45198820.2,1.0638354892281014,40896269,117.5757842359654,52650600.666666664
Chicago,2010-03-01,53794328,2010,3,50656980.0,1.061933182751913,40896269,131.53847359523186,52656533.5
Chicago,2010-04-01,52963992,2010,4,49157274.6,1.0774395535752506,40896269,129.50812701276,52688127.583333336
Chicago,2010-05-01,52320734,2010,5,51113222.0,1.0236242591007079,40896269,127.93522558255866,52595975.25
Chicago,2010-06-01,53628355,2010,6,50755660.2,1.0565985111548208,40896269,131.132634617598,52591907.583333336
Chicago,2010-07-01,53253473,2010,7,50134314.8,1.0622160333185606,40896269,130.21596908999206,52419363.833333336
Chicago,2010-08-01,54112217,2010,8,51053404.2,1.059913983169804,40896269,132.31577922181606,52519834.166666664
Chicago,2010-09-01,55360797,2010,9,51562059.0,1.073673124651597,40896269,135.36882056404704,52493966.083333336
Chicago,2010-10-01,56104922,2010,10,54155936.8,1.035988394166233,40896269,137.18836307537003,52420293.666666664
Chicago,2010-11-01,51964424,2010,11,48094651.8,1.080461590949703,40896269,127.06397251054857,52439531.5
Chicago,2010-12-01,47095231,2010,12,44379024.8,1.0612047293116726,40896269,115.15776903756183,52314588.416666664
Chicago,2011-01-01,49456574,2011,1,45894020.6,1.077625654789548,40896269,120.93175052227869,52344929.666666664
Chicago,2011-02-01,46912837,2011,2,45198820.2,1.037921715487609,40896269,114.71177725283448,52247323.666666664
Chicago,2011-03-01,55677211,2011,3,50656980.0,1.0991024534032625,40896269,136.1425195046521,52404230.583333336
Chicago,2011-04-01,52793644,2011,4,49157274.6,1.073974186518469,40896269,129.0915902377305,52390034.916666664
Chicago,2011-05-01,54316376,2011,5,51113222.0,1.0626678161670184,40896269,132.81499102032998,52556338.416666664
Chicago,2011-06-01,55589537,2011,6,50755660.2,1.095238181927934,40896269,135.92813809005412,52719770.25
Chicago,2011-07-01,53597642,2011,7,50134314.8,1.0690809720610763,40896269,131.05753485727513,52748451.0
Chicago,2011-08-01,57097135,2011,8,51053404.2,1.1183805643267957,40896269,139.6145330519026,52997194.166666664
Chicago,2011-09-01,57141380,2011,9,51562059.0,1.1082059387892171,40896269,139.7227214052216,53145576.083333336
Chicago,2011-10-01,58162355,2011,10,54155936.8,1.0739792982401146,40896269,142.2192205357413,53317028.833333336
Chicago,2011-11-01,54294396,2011,11,48094651.8,1.128907143891621,40896269,132.76124528621423,53511193.166666664
Chicago,2011-12-01,51350129,2011,12,44379024.8,1.1570810587077165,40896269,125.56189172171182,53865768.0
Chicago,2012-01-01,51898558,2012,1,45894020.6,1.1308348521550102,40896269,126.90291625380301,54069266.666666664
Chicago,2012-02-01,53129372,2012,2,45198820.2,1.1754592656380884,40896269,129.91251598036973,54587311.25
Chicago,2012-03-01,57669787,2012,3,50656980.0,1.1384371314673714,40896269,141.0147879260086,54753359.25
Chicago,2012-04-01,54192800,2012,4,49157274.6,1.1024370338057756,40896269,132.51282164639517,54869955.583333336
Chicago,2012-05-01,56915125,2012,5,51113222.0,1.1135108054819944,40896269,139.16948022813526,55086518.0
Chicago,2012-06-01,56006830,2012,6,50755660.2,1.1034597871312881,40896269,136.9485074543108,55121292.416666664
Chicago,2012-07-01,54381484,2012,7,50134314.8,1.0847158122524097,40896269,132.97419380726393,55186612.583333336
Chicago,2012-08-01,58021698,2012,8,51053404.2,1.1364902871648273,40896269,141.875284515563,55263659.5
Chicago,2012-09-01,56138975,2012,9,51562059.0,1.088765190699619,40896269,137.2716298398761,55180125.75
Chicago,2012-10-01,61117787,2012,10,54155936.8,1.1285519300628182,40896269,149.4458748791974,55426411.75
Chicago,2012-11-01,55017981,2012,11,48094651.8,1.1439521639285473,40896269,134.53056316702143,55486710.5
Chicago,2012-12-01,49468664,2012,12,44379024.8,1.1146856926878665,40896269,120.96131312125318,55329921.75
Chicago,2013-01-01,51830414,2013,1,45894020.6,1.1293500399919199,40896269,126.7362898067792,55324243.083333336
Chicago,2013-02-01,49735761,2013,2,45198820.2,1.1003774164884064,40896269,121.61442159919282,55041442.166666664
Chicago,2013-03-01,53747846,2013,3,50656980.0,1.061015599429733,40896269,131.42481530527883,54714613.75
Chicago,2013-04-01,54941810,2013,4,49157274.6,1.1176740461522656,40896269,134.34430901263877,54777031.25
Chicago,2013-05-01,56267513,2013,5,51113222.0,1.1008406591938187,40896269,137.58593234996573,54723063.583333336
Chicago,2013-06-01,54092784,2013,6,50755660.2,1.0657488009583609,40896269,132.2682614396927,54563559.75
Chicago,2013-07-01,55550893,2013,7,50134314.8,1.1080413329993293,40896269,135.83364536261243,54661010.5
Chicago,2013-08-01,55798129,2013,8,51053404.2,1.0929365019698334,40896269,136.43818950819207,54475713.083333336
Chicago,2013-09-01,56181592,2013,9,51562059.0,1.0895917092837584,40896269,137.3758373899585,54479264.5
